,Title,Ingredients,Photo
0,Cookbook:1-2-3-4 Cake,"['1 cup (240 g / 8.5 oz ) butter', '1 cup (240 ml / 8.1 oz) milk', '1 teaspoon vanilla extract', '2 cups (450 g / 16 oz) white granulated sugar', '3 cups (400 g / 14 oz) all-purpose flour', '3 teaspoons baking powder', '3 pinches of salt', '4 eggs']",https://en.wikibooks.org/wiki/Special:FilePath/1-2-3-4_cake_slice_with_chocolate_sour_cream_icing.JPG?width=1000
1,Cookbook:A Nice Cup of Tea,"['32 fl oz (1 L) hot water', '3–5 measures of loose tea leaves or 3–5 tea bags', 'Sweetener , such as sugar or honey , to taste', 'Milk or lemon juice to taste']",https://en.wikibooks.org/wiki/Special:FilePath/Nice_Cup_of_Tea.jpg?width=1000
2,Cookbook:Aadun (Nigerian Corn Flour with Palm Oil),"['1 cup corn flour', '¼ cup palm oil', '½ teaspoon chile pepper', '½ teaspoon salt']",https://en.wikibooks.org/wiki/Special:FilePath/%C3%80%C3%A1d%C3%B9n2.jpg?width=1000
3,User:Aaron Liu/sandbox,"['5 eggs', '80 grams (⅓ cup ) unsalted margarine', '1 teaspoon (5 mL ) salt', '100 grams (½ cup) sugar', '500 grams (4 cups) all-purpose flour', '60 ml (¼ cup) warm water about 110°F (43°C)', '2 tablespoons (30 mL) active-dry yeast', '80 grams (approx. ⅓ cup) butter + rest of the bar for brushing', 'Zest from 2 oranges .', '1 teaspoon (5 mL) orange blossom water or orange essence.', '2']",https://en.wikibooks.org/wiki/Special:FilePath/Norma_Pati%C3%B1o_S%C3%A1nchez_A01334948_9.jpg?width=1000
4,Cookbook:Abula (Nigerian Three Stews),"['1 cup dried beans', '2 large pieces of meat , cut into pieces', '½ cup palm oil', '1 onion', '2 teaspoons ground crayfish', 'Salt to taste', '2 dryfish', '3 cups ewedu leaves', '1 piece of potash', '½ teaspoon salt', '1 stock cube', '2 nylons of fermented locust beans', '2 red bell peppers', '3 tomatoes']",https://en.wikibooks.org/wiki/Special:FilePath/Amala_and_Abula.jpg?width=1000
5,Cookbook:Acorn Crusted Salmon,"['2 salmon fillets', '1½ cups (320 ml ) of shelled acorns', '2 egg whites']",https://en.wikibooks.org/wiki/Special:FilePath/Acorn_crust_salmon.jpg?width=1000
6,Cookbook:Adobo Chicken (Philippine),"['6–8 chicken pieces, preferably legs and wings', '⅓ cup (80 ml ) vinegar made from coconut juice (as a variant, try balsamic vinegar)', '¼ cup (60 ml) soy sauce', '4 cloves of garlic , crushed', '1–2 bay leaves', '½ tsp (2.5 ml) freshly cracked (not ground) black peppercorns']",https://en.wikibooks.org/wiki/Special:FilePath/Chicken_Adobo.jpg?width=1000
7,Cookbook:Affogato,"['1 scoop gelato , typically vanilla', '1–2 shots espresso , or one long pull shot']",https://en.wikibooks.org/wiki/Special:FilePath/Affogato.JPG?width=1000
8,Cookbook:Afghan Bread,"['Dough', 'Water', 'Dry yeast', 'Sugar', 'All-purpose flour', 'Salt', 'Baking soda', 'Corn oil', 'Egg wash', 'Water', 'Egg yolk', 'Topping', 'Black cumin seeds']",https://en.wikibooks.org/wiki/Special:FilePath/Afghan_bread.jpg?width=1000
9,Cookbook:Agedashi Tofu,"['4–6 oz (~115–170 g ) soft tofu', 'Potato starch or corn starch', 'Oil for deep frying', '½ cup (120 ml ) dashi', '2 Tbsp (30 ml) light soy sauce', '1½ Tbsp (22.5 ml) mirin', 'Green onions , thinly sliced', 'Grated ginger', 'Grated daikon (white radish)']",https://en.wikibooks.org/wiki/Special:FilePath/Agedashi.jpg?width=1000
